,Algoritmo,Métrica,Valor
61,RedeNeural,MAE,814319.005684861
62,RedeNeural,MAE,814320.139973402
63,RedeNeural,MAE,774361.7003441526
64,RedeNeural,MAE,763716.9335080866
65,RedeNeural,MAE,777351.0266455935
66,RedeNeural,MAE,814299.4289248533
67,RedeNeural,MAE,814300.6021654815
68,RedeNeural,MAE,814300.0462453909
69,RedeNeural,MAE,814312.6803881662
70,RedeNeural,MAE,814311.8299312675
71,RedeNeural,MAE,814315.7843411262
72,RedeNeural,MAE,521163.4944147478
73,RedeNeural,MAE,483433.05177494517
74,RedeNeural,MAE,511136.62892338267
75,RedeNeural,MAE,814275.0807129542
76,RedeNeural,MAE,814275.4614581058
77,RedeNeural,MAE,814275.9485496889
78,RedeNeural,MAE,814296.9770298004
79,RedeNeural,MAE,814297.9606664223
80,RedeNeural,MAE,814300.7671097454
81,RedeNeural,MAE,812641.6119124806
82,RedeNeural,MAE,812695.5532731038
83,RedeNeural,MAE,812482.3326304889
84,RedeNeural,MAE,814216.0676406057
85,RedeNeural,MAE,814215.2502164673
86,RedeNeural,MAE,814215.4083954326
